day,start_time,end_time,subject,venue,teacher
Monday,9,11,dasasd,201,gsdsd
Monday,9,11,dasasd,201,gsdsd
Monday,10,11,dasad,201,dfd
Monday,11,12,Lunch Break,,
Monday,12,13,assaa,203,
Monday,13,14,dasdas,201,sdsd
Monday,14,15,dasdas,201,sdsd
Monday,15,16,dasdas,201,sdsd
Tuesday,9,11,None-Lab,,
Tuesday,9,11,None-Lab,,
Tuesday,10,11,dvsd,201,dssd
Tuesday,11,12,Lunch Break,,
Tuesday,12,13,assa,203,
Tuesday,13,14,assa,203,
Tuesday,14,15,dasdas,203,sdsd
Tuesday,15,16,,,
Wednesday,9,11,asda,201,
Wednesday,9,11,asda,201,
Wednesday,10,11,dasad,201,dfd
Wednesday,11,12,Lunch Break,,
Wednesday,12,13,asad,203,
Wednesday,13,14,,,
Wednesday,14,15,,,
Wednesday,15,16,,,
Thursday,9,11,dssaas,201,gdgsd
Thursday,9,11,dssaas,201,gdgsd
Thursday,10,11,dasad,203,dfd
Thursday,11,12,Lunch Break,,
Thursday,12,13,dvsd,203,dssd
Thursday,13,14,asad,203,
Thursday,14,15,,,
Thursday,15,16,,,
Friday,9,11,asddas,201,
Friday,9,11,asddas,201,
Friday,10,11,assaa,201,
Friday,11,12,Lunch Break,,
Friday,12,13,assaa,203,
Friday,13,14,dvsd,201,dssd
Friday,14,15,,,
Friday,15,16,,,
